pid,main_color,style
TKPF3FPPTPDKPPFE,gray,style_1
TKPF3FPZRD9GSNKR,gray,style_1
TKPF3FPQJFH5KRK5,gray,style_1
TKPF3FPZRRJUWTAZ,gray,style_1
TKPF3FPKHNWZ3UMG,black,style_1
TKPF3FPMC6PGGGYH,gray,style_1
TKPF3FPNZ5XCHZ6R,black,style_1
TSHEYQ73VXZGAJY3,gray,style_0
TKPF3FPKTYM55SAV,black,style_1
BXRF5MQHYHWGTR3G,white,style_1
BXRF5MQH8VX6A64Z,white,style_1
BXRF5MQGSBV6WTUN,white,style_1
TKPEYQ6YNHW8FV5R,black,style_1
BXRF5MQH4UYW7SKG,white,style_1
TSHEYRU4TYBTBHH7,gray,style_0
TSHEYRU4FYZJXHHH,black,style_0
TSHEXH59HGMM2X8P,white,style_0
BXRF5MQHGVAGAKQ5,white,style_1
TSHEYR7EJDTPTBDW,gray,style_0
TSHEXH594YXPYNEQ,white,style_0
TSHEXH5986S35HJP,white,style_0
TSHEXH59UKJ7SUPR,white,style_0
TSHEXH594ZTCQ6AZ,black,style_0
TSHEXH59AAMVZKM8,white,style_0
TSHEXH59JKHGZYTM,white,style_0
TSHEXH59ZKPE8FDK,black,style_0
TSHEXM9HRJ3JGCZX,white,style_0
TSHEYQ73T4RKRAF7,white,style_0
TSHEYR7EX5BA5HQA,gray,style_0
TSHEXH5ARCB7ZPMY,gray,style_0
TSHEYRU4Z7WFYURG,gray,style_0
TSHEYRU4YUPXY3FX,green,style_0
TSHEXH59GFFRRGFH,white,style_1
TSHEXH59FAXKYQUN,white,style_0
TSHEXH59YBYWWDSY,white,style_0
TSHEYRU4ZWHAMTKT,gray,style_0
TSHEYQ73EG9R29U4,brown,style_0
TSHEXH5BPRGZFYPF,pink,style_0
TSHEYQ73GNGGWWZ9,white,style_0
TSHEYR7EUQFPWTRY,gray,style_0
TSHEYR7EZYZAG39H,brown,style_0
TSHEYR7EA9SSFU59,black,style_0
TSHEXH5AG4TYGSEH,white,style_0
TSHEYR7EQWZZ6JJH,green,style_0
TSHEYQ73SSGUP3FN,white,style_0
TSHEXH59KYGCHCMU,brown,style_0
TSHEXH59ZZGMGDGG,white,style_1
BXRF5MQHBAUTGYXS,white,style_1
BXRF5MQHC5JGX7RU,white,style_1
BXRF5MQGKZWZP9FU,white,style_1
BXRF5HTGTBRYG6U8,white,style_1
TSHEXH59ZCT5CGHF,brown,style_0
TSHF3HJHQKFZHSXH,white,style_0
TSHEXH59VWFSPVZ7,white,style_0
ETHFYB46QHB6PMYG,gray,style_1
KTAFTMYM2VYNZACZ,black,style_0
KTAFVNGEJN3T79GR,white,style_0
ETHFVPK3BTQXCHPS,white,style_0
KTAFTMYMA4UFJKY9,black,style_0
KTAFTMYMSEUHBE7Y,orange,style_0
KTAFTMYMFAH4YAG8,brown,style_0
KTAFVNGENKKJNNGZ,white,style_0
KTAFTMYM5NVZNFRM,orange,style_0
KTAFVNGE8A5SUGAZ,white,style_0
ETHFUQZ3ZH9X68XA,white,style_0
ETHFUQZ3TXJHDJZ7,white,style_0
ETHFY7FBCNYF5XUB,white,style_1
ETHFY228FGY9UXSQ,white,style_0
ETHFY7FBYTXBGSGD,white,style_0
ETHFTU53S384ZNGD,white,style_1
ETHFYB47G8RMQ4GS,gray,style_0
ETHFW2PYA9PEWPW8,white,style_0
ETHFUQZ3DP7BDA6R,white,style_0
ETHFUQZ3UXUBMSUP,white,style_0
ETHFYBRYTJMNQMCY,gray,style_0
ETHFUQZ3A95SWPYN,white,style_0
ETHFY5MYRZQNFRUK,white,style_0
ETHFVPUVWNFZZS7W,green,style_0
ETHFVPUVNZVHRDSW,pink,style_1
ETHFVPUVE5VSHZAM,pink,style_0
ETHFW2PYUGMHSYGS,gray,style_0
ETHFY7FBZZYWK2ZH,gray,style_0
ETHFY7FBWNYDTUMZ,white,style_1
ETHFY7FBXY6ZDTKN,white,style_0
ETHFYE2FY64ZFKTA,gray,style_0
ETHFTU53PQHQH4WY,white,style_1
ETHFYE2FY64ZFKTA,gray,style_0
ETHFYB46QHB6PMYG,gray,style_1
ETHFTU53PQHQH4WY,white,style_1
ETHFTU7WVAGGMKY3,white,style_0
KTAFTMYMFAH4YAG8,brown,style_0
ETHFVJZURFVSDCEJ,white,style_0
KTAFTMYM2VYNZACZ,black,style_0
